Issue Type	Issue key	Issue id	Summary	Assignee	Assignee Id	Priority	Status	Custom field (Dev Team)	Labels	Labels	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Custom field (Stage)	Created	Custom field (Flagged)	Reporter	Reporter Id	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Custom field (Severity)	Resolved	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Support Severity)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Root cause)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Custom field (Solution)	Updated	Custom field (Request Type)	Custom field (User job to be done)	Custom field (Cluster)	Custom field (Cluster)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Urgency)	Custom field (Customer)	Custom field (Reason)	Custom field (Reason)	Custom field (Analysis1)	Custom field (Analysis2)	Custom field (Analysis3)	Custom field (Exclude from Analysis)	Custom field (Runbook)	Custom field (Chance of reoccurrence)	Custom field (Chance of Reoccurrence)
Support Request	THQ-3601	250724	**Requires double scan** [Universal] Need to add SKU twice when adding to a transfer	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done		aa_release_v.1.72.0							16/Sep/25 8:25 AM		Richard Williams	61026b6da539cb006846112e								29/Oct/25 11:31 AM							UI bug, a race condition, was forcing the user to scan twice the product in order to add it.						05/Nov/25 5:14 PM				Receive/Transfer/Adjust Inventory		Medium		Universal	Transfers		InventoryScanNeedsRepeat						Zero
Support Request	THQ-3609	250691	[jewells] - Missing data in GraphQL and no events.	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									15/Sep/25 6:48 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								22/Oct/25 2:30 PM							Explained to customer how the blind return + exchange orders end up with a new order record, and hence why they saw unusual records in EventStream. Appears our systems behaved as per original design.						04/Nov/25 3:58 PM				EventStream		High		Jewells	Missing_Data	TIDE	EventsMissing	ASNcreated					Zero
Support Request	THQ-3597	250689	[TLG] [brooksbrothers]  inventory_transaction.asn_created event does not contain all items received			Medium	Done									15/Sep/25 6:12 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								07/Oct/25 5:50 PM							Issue was in how integration with external events was one						05/Nov/25 1:49 PM				EventStream		High		TLG			EventsMissingData						Zero
Support Request	THQ-3738	250570	[jamesavery-staging] - No sync between automatic discount and customer extended attributes	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									12/Sep/25 12:09 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								31/Oct/25 2:16 PM							Promotions engine had a 1h TTL cache for customer profile information, this caused the retailer associates to think data isn't updating, but actually it's just that they had to wait for 60mins to propagate. We communicated it and did not receive any follow-up questions and/or requests, hence closing.						05/Nov/25 3:21 PM				Promotions		High		James Avery	Promotions		PromotionsUnexpectedBehavior						Low
Support Request	THQ-3582	250554	**ASN {param} error** | [Jewells] Unable to Receive ASN 3999 in Store 91011 due to lock on ASN to receive with ASN by accident. Inquiry to unlock ASN to receive with Carton	Evgheni Lisita	557058:baa1c711-91ec-49d7-b7e9-9795a03f5a72	Medium	Done									11/Sep/25 10:38 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								06/Nov/25 10:24 AM							Inventory receiving by carton scanning was timing out when there were more then ~500 SKUs.						07/Nov/25 3:53 PM				Receive/Transfer/Adjust Inventory		High		Jewells	ASN	carton_	CannotReceiveWithCarton	SizeBig					Zero
Support Request	THQ-3577	250504	{Remove catalog}[Boardriders] Request to delete obsolete catalogs			Medium	Triage									11/Sep/25 10:32 AM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					06/Nov/25 12:39 PM				Catalog		High		Boardriders			CatalogCannotRemoveCatalog		Request				
Support Request	THQ-3573	250470	Unable to Cancel Item with (2) FFR (Windsor)	Florent Peterschmitt	61dbef5aa54af90069bb001b	Medium	Done									10/Sep/25 11:13 PM	Impediment	Austin Grady	621c7d1b8a4bb60068f08be9								16/Sep/25 10:52 AM							"As per Flo's message: `The fix has been deployed to prevent this situation in the future. I insist that this was a really unfortunate and rare occurrence: Sales Order service was not available for a few seconds, enough for the bug in Store Fulfillment to cause the FFR to be “forgotten”.`

"						05/Nov/25 5:17 PM				Routing		High		Windsor	cancellation		CannotCancelOrder						Zero
Support Request	THQ-3572	250450	[AbLabs/Jewells] Enable Routing UI in NOM	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									10/Sep/25 5:03 PM		Mallory Olivieri	5cecf2714283500fc709051e								15/Sep/25 11:58 AM							BAU - followed runbook https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer						04/Nov/25 4:23 PM				Routing		High		Jewells	Configuration		RoutingTurnOnFeature						Low
Support Request	THQ-3570	250443	[Veja] Update product sorting for production	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									10/Sep/25 3:42 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								15/Sep/25 4:52 PM							BAU, followed runbook: https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/3634431665/How+to+update+the+size+sorting+system+for+a+retailer						04/Nov/25 3:50 PM				Catalog		High		Veja	Sorting		CatalogUpdateSize&Sorting						Low
Support Request	THQ-3561	250355	[Reebok]Error when Transferring Inv. from Store to Store (Reebok-Sandbox)	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									09/Sep/25 9:03 PM		Austin Grady	621c7d1b8a4bb60068f08be9								30/Sep/25 10:22 AM							"We have found out that the stores reported did not have `shipping_address` set, only `physical_address` existed. We improved the Associate App UX as part of this, as well as communicated the need to have the `shipping_address` set through a separate API call.

Furthermore we have improved the backend logic to default to `physical_address` if `shipping_address` doesn't exist, so this issue has been solved/solutions communicated through several ways, and thus was deemed OK to be closed."						05/Nov/25 1:18 PM				Receive/Transfer/Adjust Inventory		High		Reebok	Transfers		TransferErrorCompleting						Zero
Support Request	THQ-3646	250305	[CT Shirts] Return update failed to update the line status but has triggered the refund in Adyen			Medium	Triage									09/Sep/25 12:59 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					05/Nov/25 1:36 PM				Order Data		Medium		Charles Tyrwhitt			RefundFailed						
Support Request	THQ-3555	250251	[Birkenstock]Missing order.completed and return.processed events and information/follow-up to FO-656	Tuomas Nylund	712020:7285fb2b-dc93-4ac6-b5ab-4bd8075176c2	Medium	Done									08/Sep/25 6:27 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								01/Oct/25 9:27 PM							Some events did not go to Tide due to a misconfiguration. Some events were lost in the Birkenstock integrations due to bugs. Some events were lost within Birkenstock OMS system due to their bugs. RCA pending.						04/Nov/25 3:59 PM				EventStream		High		Birkenstock	Order_Routing		EventsMissing	Order					High
Support Request	THQ-3551	250189	[leays-australia]Adjustment API giving an error			Medium	Done									08/Sep/25 3:27 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								06/Nov/25 8:48 AM							Resolved by retailer						06/Nov/25 8:48 AM				Receive/Transfer/Adjust Inventory		High		Leays			CreateAdjustmentUnexpectedBehavior						Zero
Support Request	THQ-3548	250169	[vince] transfer order export requested	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									05/Sep/25 9:13 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								12/Sep/25 9:02 AM							"On rare occasion Vince requests an export of data in NOM that we currently do not provide as a feature. 

I wrote a runbook to make this easier for the next time this request comes in. 

https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/5675778049/How+to+generate+Transfer+Order+export"						05/Nov/25 1:18 PM				Receive/Transfer/Adjust Inventory		Medium		Vince	BAU		TransferOrderCannotExportData		Request				Low
Support Request	THQ-3546	250159	[Oroton-staging] Associate app count task due date does not match NOM			Medium	Triage									05/Sep/25 4:05 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e																					05/Nov/25 5:34 PM				Count Inventory		High		Oroton					RetailersError	Yes			
Support Request	THQ-3543	250099	[Vbretail] Inquiry about product title difference between Stock Level and Catalog Page			Medium	Triage									04/Sep/25 6:05 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e																					05/Nov/25 12:57 PM				Stock		Medium		Veronica Beard			CatalogProductTitleNotMatching						
Support Request	THQ-3542	250078	[lego]: unexpected behaviour of how incorrect effectType=rejectCoupon responses of a 3rd party integration are treated			Medium	Triage									04/Sep/25 2:45 PM		Vivek Bharti	5c8787bebddad83db0c4522b																					05/Nov/25 3:25 PM				Promotions		Medium		LEGO			PromotionsExternalUnexpectedBehavior						
Support Request	THQ-3540	250075	[jamesavery] Product Size Sorting	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									04/Sep/25 1:38 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3								16/Sep/25 10:52 AM							Ran the runbook						04/Nov/25 3:52 PM				Catalog		High		James Avery	Configuration		CatalogUpdateSize&Sorting						High
Support Request	THQ-3519	249987	[ctshirts] Stock On Hand screen issue with displaying number of records, does not always default to 10 count			Medium	Done									03/Sep/25 4:45 PM	Impediment	Jorge Yip	60d5c928b1f93b0069c6fe6e								17/Sep/25 2:20 PM							Support informed we can close the ticket.						05/Nov/25 2:19 PM				Stock		Medium		Charles Tyrwhitt			SOHNOMPagination						Zero
Support Request	THQ-3490	249898	[Vince-Staging/Sandbox] Access to Routing interface in NOM	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									03/Sep/25 12:42 AM		Andrew Bright	627e4e316ba8640069cffb0d								04/Sep/25 4:42 PM							"Business as usual operation. Resolved using:
[https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer|https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer|smart-link]"						04/Nov/25 4:30 PM				Routing		Medium		Vince	Configuration		RoutingTurnOnFeature						Zero
Support Request	THQ-3489	249895	Error Handling | Misleading error message for On Hold order (RMWilliams)			Medium	Triage									02/Sep/25 10:40 PM		Austin Grady	621c7d1b8a4bb60068f08be9																					05/Nov/25 10:39 AM				OnHold Orders		Medium		RM Williams			OnHoldOrderError	ErrorHandling					
Support Request	THQ-3478	249877	[Reebok-Sandbox] Product imports being throttled and placed into received status	Fabio Ribeiro	629a28b4e000550067e7f783	Medium	Done									02/Sep/25 6:16 PM		Andrew Bright	627e4e316ba8640069cffb0d								10/Oct/25 10:43 AM							Misunderstanding of the api and docs.						05/Nov/25 12:55 PM				Catalog		High		Reebok	Import		CatalogImportsThrottled						Low
Support Request	THQ-3477	249872	[BZB] Replay Orders affected by Tax Quotation Issue			Medium	Triage									02/Sep/25 5:27 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3																					04/Nov/25 3:59 PM				Order Data		High		BZB			EventsMissing	Order					
Support Request	THQ-3442	249763	[TLG] Order not imported - Status "Canceled"	Ajay Divakaran	712020:dc35510b-aa24-4a52-ae38-2e02e4b022af	Medium	Done									01/Sep/25 5:39 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								03/Oct/25 2:27 PM							"Since there were C&C orders and customer has received the goods and receipt printed (fiscalised country) it was incorrect to mark the order as failed (even though gift cards did not go through).
Runbook and scripting in place to convert order from failed to success more easily and quickly"						05/Nov/25 10:40 AM				Order Data		High		TLG	N/A		MissingOrder	GiftCard					Low
Support Request	THQ-3435	249751	[AllSaints] - Failed Sales: Unexpected Status - Captured not completed			Medium	Triage									01/Sep/25 4:33 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e																					05/Nov/25 3:28 PM				Order Data		High		AllSaints			OrderStatusUnexpected						
Support Request	THQ-3430	249744	[TLG] [offwhite] - Events not send on historical orders 	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									01/Sep/25 3:09 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								26/Sep/25 3:07 PM							Order import issue: followed runbook https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/5627445249/Resolve+stuck+orders+during+Historical+Order+Import						04/Nov/25 4:00 PM				EventStream		High		TLG	Order_Routing		EventsMissing	HistoricalOrder					Zero
Support Request	THQ-3388	249647	{Cancel order} [RM Williams]Cancel an order			Medium	Triage									31/Aug/25 9:37 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					06/Nov/25 12:39 PM				Order Data		High		RM Williams			CannotCancelOrder		Request				
Support Request	THQ-3350	249582	**ASN {param} error** | [allsaints] error trying to receive carton			Medium	Done									29/Aug/25 7:00 PM	Impediment	Brandon Wargo	5c07e33c9d4db33a1f658dc9								06/Nov/25 10:26 AM							Inventory receiving timing out when more then 600 SKUs were attempted to be received.						07/Nov/25 11:12 AM				Receive/Transfer/Adjust Inventory		High		AllSaints	bug		CannotReceiveWithCarton	SizeBig					Zero
Support Request	THQ-3349	249578	[Paperandtea] Full count is not working as it cannot scan product	Meriam Kharbat	627e4e3298eae500689fe126	Medium	Done									29/Aug/25 5:28 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								02/Sep/25 5:45 PM							The documentation did not specify that offline mode is needed for the full count feature						05/Nov/25 3:56 PM				Catalog		High		Paper & Tea	regresion		FullCountsCannotScan						Zero
Support Request	THQ-3331	249505	[LornajaneOMS] Routing order stuck	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									29/Aug/25 1:29 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								03/Sep/25 3:20 PM							The issue resolved itself.						05/Nov/25 10:13 AM				Routing		High		Lorna Jane	Order_Routing		OrderStuck	Routing					Zero
Support Request	THQ-3330	249504	[LornajaneOMS] Order stuck in routing. 	Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326	Medium	Done									29/Aug/25 1:22 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								10/Sep/25 2:10 AM							The order routed successfully 						05/Nov/25 10:12 AM				Order Injection		High		Lorna Jane	close		OrderStuck	Routing					Zero
Support Request	THQ-3329	249503	**Weird workflow** [LornajaneOMS] Weird Order workflow			Medium	Done									29/Aug/25 1:14 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								29/Oct/25 2:27 PM							N/A						05/Nov/25 10:35 AM				OnHold Orders		High		Lorna Jane			OrderUnexpectedWorkflow						Low
Support Request	THQ-3328	249501	[Oroton] ATP & Stock On hand Discrepancy.	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									29/Aug/25 1:04 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								12/Sep/25 11:43 AM							N/A						05/Nov/25 6:57 PM				Stock		High	Medium	Oroton			ATPWrong						Zero
Support Request	THQ-3312	249464	[Veja] Update product sorting for sandbox and staging	Ra-el Peters	712020:11204680-50be-4775-b04b-e5cee39caab6	Medium	Done									28/Aug/25 5:23 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e								10/Sep/25 5:34 PM							Lack of configuration on sorting. Customer was not able to sort themselves.						04/Nov/25 3:52 PM				Catalog		High		Veja	Configuration		CatalogUpdateSize&Sorting						High
Support Request	THQ-3298	249434	zimmermann-staging - Issue with Get service level API endpoint			Medium	Triage									28/Aug/25 12:52 PM		Vivek Bharti	5c8787bebddad83db0c4522b																					05/Nov/25 8:33 AM				Routing		High		Zimmermann			GetOrderDetailsAPIUnexpectedbehavior						
Support Request	THQ-3264	249357	Route Clarks UK Orders to MC01	Tuomas Nylund	712020:7285fb2b-dc93-4ac6-b5ab-4bd8075176c2	Medium	Done									28/Aug/25 12:35 AM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								04/Sep/25 5:02 PM							orders were misrouted as a side-effect of an incident						05/Nov/25 1:14 PM				Routing		High		Clarks	regresion		CannotRerouteOrdersBulk		Request				N/A
Support Request	THQ-3250	249342	Route Clarks UK Orders to MC01	Tuomas Nylund	712020:7285fb2b-dc93-4ac6-b5ab-4bd8075176c2	Medium	Done									27/Aug/25 11:33 PM		PagerDuty	557058:3a56cb63-a64c-4692-b28a-630198427625								04/Sep/25 5:02 PM							orders were misrouted as a side-effect of an incident						05/Nov/25 1:14 PM				Routing		High		Clarks	regresion		CannotRerouteOrdersBulk		Request				N/A
Support Request	THQ-3221	249304	[jamesavery-staging] order history by customer pagination not working as expected			Medium	Triage									27/Aug/25 7:28 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9																					06/Nov/25 2:59 PM				Order Data		High		James Avery			RetrieveOrderHistoryAPIPagination						
Support Request	THQ-3063	249000	Universal and James Avery: Inconsistent Availability Import Performance 			Medium	Done									25/Aug/25 8:09 PM		Richard Williams	61026b6da539cb006846112e								31/Oct/25 1:14 PM							resolved by retailer						05/Nov/25 4:07 PM				Stock		Medium		James Avery			AvailabilityExportPerformance						Zero
Support Request	THQ-3046	248904	Enable External Promotion Engine for All Triple A Environments	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Critical	Done									25/Aug/25 12:27 PM		Pete Cass	61b0a0b2b0b630006a89908e								27/Aug/25 4:03 PM							"Configuration. Followed this runbook:
[https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/edit-v2/5532418049|https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/edit-v2/5532418049|smart-link]"						04/Nov/25 5:27 PM				Promotions		High		TRIPLE-A	Configuration		PromotionsTurnOnFeature						High
Support Request	THQ-3119	248879	[Oroton group] Receipt not generating	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done		payments							25/Aug/25 7:08 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								03/Sep/25 3:21 PM							Support pointed out some issues with the templates, issue was resolved between them and the retailer. No HQ involvement.						05/Nov/25 3:15 PM				Order Data		High		Oroton	Receipt_Rendering		ReceiptNotGenerated						Zero
Support Request	THQ-3125	248619	[Birkenstock] Associate app is not reflecting stock availability though it shows stock available on product details			Medium	Triage									22/Aug/25 6:29 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e																					05/Nov/25 5:28 PM				Stock		High		Birkenstock			SOH<>StockLevels						
Support Request	THQ-2752	248451	+[BZB] Products cannot be found nor sellable in store			Medium	Triage									21/Aug/25 6:28 PM		Jorge Yip	60d5c928b1f93b0069c6fe6e																					05/Nov/25 4:57 PM				Catalog		High		BZB			CatalogProductsCannotBeFound						
Support Request	THQ-2740	248421	[Oroton] Enable Routing Interface in NOM	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Aug/25 1:11 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3								22/Aug/25 2:48 PM							"Business as usual operation. Resolved using:
https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer"						04/Nov/25 4:30 PM				Routing		High		Oroton	Configuration		RoutingTurnOnFeature						Low
Support Request	THQ-2736	248405	[Veronica Beard] Full Counts - odd scanning variances			Medium	Triage									21/Aug/25 10:38 AM		Berrak Celik	5aa7b7d6655d8c2a1c233e88																					05/Nov/25 3:54 PM				Count Inventory		High		Veronica Beard			FullCountsOddVariances						
Support Request	THQ-2734	248393	[AnineBing] Orders stuck on_hold due to no carrier service error 	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									21/Aug/25 8:43 AM		Ankita Dubey	631627f58d88ec800fbf5779								03/Sep/25 10:19 AM							It appears the customer had issues with their custom adapter. We asked for more logs to help troubleshoot but the communication went quiet so we closed this due to inactivity.						05/Nov/25 10:16 AM				OnHold Orders		Medium		Anine Bing	Devliery		OrderStuck	OnHold					Low
Support Request	THQ-3617	248380	[Clarks] Refund status is not reflecting in NOM 			Medium	Done		payments							21/Aug/25 7:18 AM		Ankita Dubey	631627f58d88ec800fbf5779								10/Oct/25 9:34 AM							Closed before pulled at Supports request						05/Nov/25 10:33 AM				Order Data		Medium		Clarks			RefundStuck						N/A
Support Request	THQ-2730	248370	Complete transfer - ASN Error (Clarks)	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									20/Aug/25 10:44 PM		Austin Grady	621c7d1b8a4bb60068f08be9								21/Aug/25 10:28 PM							"It was deemed to have been a temporary downtime on the underlying SQL database.

We agreed to let the customer know that the engineering team was made aware of this and ask to let us know if/when this happens again. If we start seeing more occurrences of this it may be considered more urgent by the business. 

Closing until if/when this occurs again. "						05/Nov/25 1:37 PM				Receive/Transfer/Adjust Inventory		Low		Clarks	SQL_Problem		ReceivingError						Low
Support Request	THQ-2728	248356	[Vince] Enable Routing interface in NOM	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									20/Aug/25 7:12 PM		Andrew Bright	627e4e316ba8640069cffb0d								22/Aug/25 1:01 PM							"Business as usual operation. Resolved using:
https://goodscloud.atlassian.net/wiki/spaces/HQ/pages/4705648641/Activating+Routing+UI+for+a+customer"						04/Nov/25 4:30 PM				Routing		High		Vince	Configuration		RoutingTurnOnFeature						High
Support Request	THQ-2542	248103	Promotions Cart Simulator doesn't match associate app			Medium	Triage									19/Aug/25 10:56 PM		Richard Williams	61026b6da539cb006846112e																					05/Nov/25 3:23 PM				Promotions		High		Universal			PromotionsSimulatorMismatch						High
Support Request	THQ-2538	248093	[ctshirts-staging] no price override data in order events	Bernardo Torres	557058:a2e544ed-2042-4d1e-bef7-3d0d23aac726	Medium	Done									19/Aug/25 8:07 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								29/Aug/25 6:04 PM							Closed by support.						05/Nov/25 5:32 PM				EventStream		Medium		Charles Tyrwhitt	N/A				FeatureRequest	Yes			N/A
Support Request	THQ-2537	248092	Request to Increase Availabilities limit to 40 (Untuckit)	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									19/Aug/25 7:25 PM		Austin Grady	621c7d1b8a4bb60068f08be9								20/Aug/25 3:13 PM							Process documented in a new runbook. See comments for more information and summary.						05/Nov/25 4:07 PM				Catalog		Medium		Untuckit	Configuration		AvailabilityExportCannotIncreaseAvailabilityLimit						Low
Support Request	THQ-2527	248049	[Zimmermann] Request to add th_TH locale to the NOM templates	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Medium	Done									19/Aug/25 3:28 PM		Oyinloluwa Olatunji	627e4e3466eb58006980c1d3								16/Sep/25 10:46 AM							Implemented an additional locale into the dropdown for Templates UI.						04/Nov/25 5:19 PM				Templates		High		Zimmermann	Locales	Templates	CannotAddLocaleToTemplate		Request				Zero
Support Request	THQ-2514	247953	[jamesavery-sandbox] item remains on_hold in order API after being routing to DC	Tuomas Nylund	712020:7285fb2b-dc93-4ac6-b5ab-4bd8075176c2	Medium	Done									18/Aug/25 7:50 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								03/Oct/25 9:04 PM							customer requested that api has a little bit more detailed status reporting for order items. this has now been implemented						05/Nov/25 8:34 AM				Order Data		High		James Avery	Data_Synchronisation		GetOrderDetailsAPIUnexpectedbehavior	StatusNotChanged					Zero
Support Request	THQ-3429	247925	[jewells] Can't refund (appeasement) items fully on certain order	Florent Peterschmitt	61dbef5aa54af90069bb001b	Medium	Done		payments							18/Aug/25 4:46 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e								12/Sep/25 7:28 PM							"There was a bug (in both Sales order 1.0 and 2.0) implementations of Number type checks in client-side javascript. 

It's the archetypical floating point arithmetic issue (e.g. 0.1+0.2 !== 0.3) that seems to have made it's way into production code. 

We fixed the issue in both Sales order 1.0 and 2.0 (with an accompanying unit test)."						05/Nov/25 1:56 PM				Order Data		High		Jewells	bug		CannotAppeaseOrder						Zero
Support Request	THQ-3567	247919	[ctshirts-staging] - cart_managment_v2 - Display issue using new price override feature			Medium	Triage									18/Aug/25 3:32 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e																					05/Nov/25 3:20 PM				Order Data		Medium		Charles Tyrwhitt			PromotionsDiscountsWrongNOM						
Support Request	THQ-2418	247624	[Clarks] Orders booked shipment on easypost but we are failing for booking Unexpected Error			Medium	Done									14/Aug/25 12:12 AM		Jorge Yip	60d5c928b1f93b0069c6fe6e								09/Sep/25 4:32 PM							Customer's easypost proxy endpoint is not always coming back with the shipment booking success.						05/Nov/25 8:43 AM				Fulfill Orders		High		Clarks			ShipmentBookingFailed						Low
Support Request	THQ-2400	247548	Image not appearing after import for the product			Medium	Triage									13/Aug/25 1:36 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326																					05/Nov/25 12:55 PM				Catalog		Low		Oroton			CatalogMissingProductImage	NOM					
Support Request	THQ-2399	247547	[Jewells] Request to default residential flag for Royal Mail v3 in EasyPost adapter and allow reroute fallback	Mark Narvidas	712020:f4a3833e-694b-4f6e-8ce6-ff3e938b0e80	Critical	Done									13/Aug/25 1:26 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								26/Aug/25 7:27 AM							"The issue lies with shipments between Northern Ireland and the UK when booked with Royal Mail V3. It requires a UKIMS number and/or the delivery to be flagged with `residential=true` flag when calling EasyPost API. 

Right now the best interim solution found was to attempt these deliveries using DHL which will handle customs appropriately. In the future cases like this may warrant a need give the retailer some additional UI/control over which orders need `residential=true` flag set, as right now there isn't a way to control this from NewStore NOM platform."						05/Nov/25 12:45 PM				Routing		High		Jewells	EasyPost		EasypostRoyalMail						High
Support Request	THQ-2397	247541	[Oroton-Staging] Gift Wrapping total shows in NOM when payment was revoked			Medium	Triage									12/Aug/25 11:14 PM		Andrew Bright	627e4e316ba8640069cffb0d																					05/Nov/25 2:31 PM				Order Data		Low		Oroton			OrderCancelledWrongTotal						
Support Request	THQ-2395	247536	[Ganni] Order status in Customer profile-> NOM is grey	Lewis O'Driscoll	712020:1018f1a5-ba3e-4af6-a78b-3a80125ef4c5	Medium	Done									12/Aug/25 8:24 PM		Ankita Dubey	631627f58d88ec800fbf5779								14/Aug/25 9:59 AM							CSS issue when upgrading nom core-components library in an MFE from v4 to v5						05/Nov/25 3:30 PM				No Classification Available		Low		Ganni	regresion		MissingOrder	OfflineOrder		Yes			Low
Support Request	THQ-2348	247344	Product page search function 			Medium	Done									11/Aug/25 2:16 AM		Em Q.	712020:22580d0e-83f8-4e3d-b6be-f99419133326								31/Oct/25 1:15 PM							resolved by retailer						05/Nov/25 12:57 PM				Catalog		Medium		RM Williams			CatalogSearchReturnsMoreProducts						Zero
Support Request	THQ-2320	247246	[zimmerman-staging] - Provider rates automatically changing when updating service levels			Medium	Triage									08/Aug/25 1:12 PM		Simon Theisse	712020:50762d09-52c0-4d65-be9d-93f32a7c681e																					05/Nov/25 6:57 PM				Routing		High		Zimmermann			ServiceLevelsUpdateBreaksProviderRates						
Support Request	THQ-2309	247184	Error Handling | [jewels-staging] improve error for 400 response on injected order			Medium	Done									07/Aug/25 9:19 PM		Brandon Wargo	5c07e33c9d4db33a1f658dc9								31/Oct/25 1:14 PM							resolved by retailer						05/Nov/25 6:58 PM				Fulfill Orders		Low		Jewells			OrderInjectionFails	ErrorHandling					Zero
